x,y,z,energy_eV
715157.4475767222,42179.17353641784,-128085.95258400874,0.08324727108378652
715172.9146123689,42158.472671643634,-128088.81107407616,0.07494560416130365
715173.2999467225,42158.2903618832,-128088.75121775699,0.06747180430034262
715195.2386024965,42144.58812746366,-128078.92064142287,0.060743314120807065
715227.4893005489,42156.732484848326,-128041.16155144737,0.054685809111529905
715239.0736236653,42161.65320405727,-128059.10355413331,0.049232376623953515
715259.9554016481,42180.624426363174,-128053.22094273115,0.04432277673901632
715292.8545092599,42185.97068592958,-128041.94587785917,0.03990277684260472
715292.8602068608,42185.97280154447,-128041.96196824759,0.035923552559131676
715293.0333909297,42195.87169932485,-128046.47862445656,0.035923552559131676
715306.9024946193,42191.82340623446,-128041.67963466713,0.035923552559131676
715306.9278745553,42191.88959535749,-128041.6328783628,0.035923552559131676
715309.4964641368,42193.6970231454,-128042.46946490009,0.035923552559131676
715311.2620083704,42188.712556144645,-128031.10033204564,0.035923552559131676
715313.6151080312,42188.95995534925,-128027.17928101566,0.035923552559131676
715323.7866918358,42173.064580121405,-127994.02972311353,0.035923552559131676
715338.8420955441,42161.545792331606,-127969.77583905721,0.035923552559131676
715349.0170578787,42162.87220291084,-127964.34094392518,0.035923552559131676
715351.2061503637,42151.936318502274,-127959.29239468374,0.035923552559131676
715353.5510429378,42150.063611796104,-127955.40566755422,0.035923552559131676
715393.8197313368,42158.15790630416,-127941.05381255377,0.035923552559131676
715415.816906514,42175.17817281713,-127928.69162311402,0.035923552559131676
715430.1038118573,42181.32635077942,-127921.70909584739,0.035923552559131676
715434.1090537062,42185.56928403227,-127924.95283104364,0.035923552559131676
715436.6514435303,42186.71200528341,-127932.96753758143,0.035923552559131676
715437.6453963864,42185.94733927831,-127933.75413255312,0.035923552559131676
715446.6165917685,42186.73980866118,-127933.88581255832,0.035923552559131676
